    fip     | dnp3  | index |           type            |                         dev                         |           attr            |          bit          
 A30-ACO-DN |   259 |    50 | ABNORMAL_CONDITION_DEVICE | ACO_Z02_180AX_ALM                                   | ABC_DEVICE_ELEC_IND       | ALARM
 A30-ACO-DN |   260 |    50 | ABNORMAL_CONDITION_DEVICE | ACO_Z02_180AX_ALM                                   | ABC_DEVICE_ELEC_IND       | NO_ALARM
 A30-ACO-DN |   261 |    51 | ABNORMAL_CONDITION_DEVICE | ACO_Z02_180TX_TRP                                   | ABC_DEVICE_ELEC_IND       | ALARM
 A30-ACO-DN |   262 |    51 | ABNORMAL_CONDITION_DEVICE | ACO_Z02_180TX_TRP                                   | ABC_DEVICE_ELEC_IND       | NO_ALARM
 A30-ACO-DN |   263 |    52 | ABNORMAL_CONDITION_DEVICE | ACO_Z02_103ASS_ALM                                  | ABC_DEVICE_ELEC_IND       | ALARM
 A30-ACO-DN |   264 |    52 | ABNORMAL_CONDITION_DEVICE | ACO_Z02_103ASS_ALM                                  | ABC_DEVICE_ELEC_IND       | NO_ALARM
 A30-ACO-DN |   265 |    53 | ABNORMAL_CONDITION_DEVICE | ACO_Z02_103DSS_ALM                                  | ABC_DEVICE_ELEC_IND       | ALARM
 A30-ACO-DN |   266 |    53 | ABNORMAL_CONDITION_DEVICE | ACO_Z02_103DSS_ALM                                  | ABC_DEVICE_ELEC_IND       | NO_ALARM
 A30-ACO-DN |   267 |    54 | ABNORMAL_CONDITION_DEVICE | ACO_Z02_126DT_HI_TRP                                | ABC_DEVICE_ELEC_IND       | ALARM
 A30-ACO-DN |   268 |    54 | ABNORMAL_CONDITION_DEVICE | ACO_Z02_126DT_HI_TRP                                | ABC_DEVICE_ELEC_IND       | NO_ALARM
 A30-ACO-DN |   269 |    55 | ABNORMAL_CONDITION_DEVICE | ACO_Z02_27GR1_PS_ALM                                | ABC_DEVICE_ELEC_IND       | ALARM
 A30-ACO-DN |   270 |    55 | ABNORMAL_CONDITION_DEVICE | ACO_Z02_27GR1_PS_ALM                                | ABC_DEVICE_ELEC_IND       | NO_ALARM
 A30-ACO-DN |   271 |    56 | ABNORMAL_CONDITION_DEVICE | ACO_Z02_164G_ENCL_GND_ALM                           | ABC_DEVICE_ELEC_IND       | ALARM
 A30-ACO-DN |   272 |    56 | ABNORMAL_CONDITION_DEVICE | ACO_Z02_164G_ENCL_GND_ALM                           | ABC_DEVICE_ELEC_IND       | NO_ALARM
 A30-ACO-DN |   273 |    57 | ABNORMAL_CONDITION_DEVICE | ACO_Z02_164A_ENCL_ALIVE_TRP                         | ABC_DEVICE_ELEC_IND       | ALARM
 A30-ACO-DN |   274 |    57 | ABNORMAL_CONDITION_DEVICE | ACO_Z02_164A_ENCL_ALIVE_TRP                         | ABC_DEVICE_ELEC_IND       | NO_ALARM
 A30-ACO-DN |   275 |    58 | ABNORMAL_CONDITION_DEVICE | ACO_NGD_HI_CURRENT_SCR_ALM                          | ABC_DEVICE_ELEC_IND       | ALARM
 A30-ACO-DN |   276 |    58 | ABNORMAL_CONDITION_DEVICE | ACO_NGD_HI_CURRENT_SCR_ALM                          | ABC_DEVICE_ELEC_IND       | NO_ALARM
 A30-ACO-DN |   277 |    59 | ABNORMAL_CONDITION_DEVICE | ACO_NGD_TIMED_CURRENT_SCR_ALM                       | ABC_DEVICE_ELEC_IND       | ALARM
